0,Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
1,Ecoli_14_1.sif,14,KM3,BESTFIT,100,6,0,169,13,14,0,0,0.862244898,0.4642857143,-0.0739221271
1,Ecoli_12_1.sif,12,KM3,BESTFIT,100,5,1,124,8,11,0.1111111111,0.0833333333,0.8680555556,0.5113636364,0.0259499648
1,Ecoli_11_1.sif,9,KM3,BESTFIT,100,2,2,66,6,7,0.25,0.2222222222,0.8395061728,0.5694444444,0.146301434
1,Ecoli_10_1.sif,10,KM3,BESTFIT,100,4,0,84,6,10,0,0,0.84,0.4666666667,-0.0842151921
1,Ecoli_13_1.sif,12,KM3,BESTFIT,100,5,1,123,9,11,0.1,0.0833333333,0.8611111111,0.5075757576,0.0164733245
2,Ecoli_13_2.sif,13,KM3,BESTFIT,100,5,0,139,9,21,0,0,0.8224852071,0.4695945946,-0.0893387873
2,Ecoli_10_2.sif,10,KM3,BESTFIT,100,4,1,74,8,17,0.1111111111,0.0555555556,0.75,0.47899729,-0.0563905798
2,Ecoli_12_2.sif,12,KM3,BESTFIT,100,5,6,114,6,18,0.5,0.25,0.8333333333,0.6,0.269679945
2,Ecoli_11_2.sif,11,KM3,BESTFIT,100,5,1,90,11,19,0.0833333333,0.05,0.7520661157,0.4705445545,-0.0732094939
2,Ecoli_14_2.sif,14,KM3,BESTFIT,100,5,2,162,7,25,0.2222222222,0.0740740741,0.8367346939,0.5163269779,0.0537673926
3,Ecoli_12_3.sif,12,KM3,BESTFIT,100,6,3,102,8,31,0.2727272727,0.0882352941,0.7291666667,0.5077540107,0.0247953378
3,Ecoli_14_3.sif,14,KM3,BESTFIT,100,5,2,145,11,38,0.1538461538,0.05,0.75,0.4897435897,-0.033221593
3,Ecoli_13_3.sif,13,KM3,BESTFIT,100,5,2,131,9,27,0.1818181818,0.0689655172,0.7869822485,0.5023399015,0.007152629
3,Ecoli_11_3.sif,11,KM3,BESTFIT,100,5,2,84,8,27,0.2,0.0689655172,0.7107438017,0.4910044978,-0.0278924611
3,Ecoli_10_3.sif,10,KM3,BESTFIT,100,4,2,68,7,23,0.2222222222,0.08,0.7,0.4933333333,-0.0201742511
4,Ecoli_10_4.sif,10,KM3,BESTFIT,100,4,4,63,3,30,0.5714285714,0.1176470588,0.67,0.5360962567,0.1340334184
4,Ecoli_14_4.sif,14,KM3,BESTFIT,100,7,3,132,12,49,0.2,0.0576923077,0.6887755102,0.4871794872,-0.0425827195
4,Ecoli_13_4.sif,13,KM3,BESTFIT,100,5,2,122,9,36,0.1818181818,0.0526315789,0.7337278107,0.4919646444,-0.0271980429
4,Ecoli_11_4.sif,11,KM3,BESTFIT,100,3,4,75,8,34,0.3333333333,0.1052631579,0.652892562,0.5044388079,0.0137855251
4,Ecoli_12_4.sif,12,KM3,BESTFIT,100,5,1,90,8,45,0.1111111111,0.0217391304,0.6319444444,0.4700532387,-0.1153675504
5,Ecoli_13_5.sif,13,KM3,BESTFIT,100,5,6,115,7,41,0.4615384615,0.1276595745,0.7159763314,0.5351412626,0.1181795213
5,Ecoli_11_5.sif,11,KM3,BESTFIT,100,2,6,70,5,40,0.5454545455,0.1304347826,0.6280991736,0.531884058,0.1076763804
5,Ecoli_12_5.sif,12,KM3,BESTFIT,100,5,2,76,10,56,0.1666666667,0.0344827586,0.5416666667,0.4591018444,-0.1451507727
5,Ecoli_14_5.sif,14,KM3,BESTFIT,100,6,3,122,10,61,0.2307692308,0.046875,0.637755102,0.4855587121,-0.0544271574
5,Ecoli_10_5.sif,10,KM3,BESTFIT,100,4,3,57,3,37,0.5,0.075,0.6,0.5125,0.0515710623
6,Ecoli_12_6.sif,12,KM3,BESTFIT,100,5,6,70,4,64,0.6,0.0857142857,0.5277777778,0.5158301158,0.0622481672
6,Ecoli_10_6.sif,10,KM3,BESTFIT,100,4,5,46,5,44,0.5,0.1020408163,0.51,0.5020008003,0.0066680004
6,Ecoli_13_6.sif,13,KM3,BESTFIT,100,5,5,109,4,51,0.5555555556,0.0892857143,0.674556213,0.5269437421,0.1129639572
6,Ecoli_14_6.sif,14,KM3,BESTFIT,100,6,4,113,7,72,0.3636363636,0.0526315789,0.5969387755,0.4971491228,-0.0120704571
6,Ecoli_11_6.sif,11,KM3,BESTFIT,100,5,3,59,6,53,0.3333333333,0.0535714286,0.5123966942,0.4806318681,-0.0736102266
7,Ecoli_10_7.sif,10,KM3,BESTFIT,100,5,4,39,5,52,0.4444444444,0.0714285714,0.43,0.4788961039,-0.0732101062
7,Ecoli_13_7.sif,13,KM3,BESTFIT,100,5,4,99,5,61,0.4444444444,0.0615384615,0.6094674556,0.5067307692,0.0291666667
7,Ecoli_12_7.sif,12,KM3,BESTFIT,100,4,5,56,6,77,0.4545454545,0.0609756098,0.4236111111,0.4821007081,-0.066733892
7,Ecoli_14_7.sif,14,KM3,BESTFIT,100,8,7,99,8,82,0.4666666667,0.0786516854,0.5408163265,0.5019426651,0.0072766237
7,Ecoli_11_7.sif,11,KM3,BESTFIT,100,5,7,52,4,58,0.6363636364,0.1076923077,0.4876033058,0.5181318681,0.0628970902
8,Ecoli_10_8.sif,10,KM3,BESTFIT,100,4,6,33,3,58,0.6666666667,0.09375,0.39,0.5052083333,0.0174714139
8,Ecoli_12_8.sif,12,KM3,BESTFIT,100,5,6,44,6,88,0.5,0.0638297872,0.3472222222,0.4719148936,-0.0967558894
8,Ecoli_11_8.sif,11,KM3,BESTFIT,100,4,8,46,3,64,0.7272727273,0.1111111111,0.4462809917,0.5249433107,0.085183542
8,Ecoli_14_8.sif,14,KM3,BESTFIT,100,5,5,85,9,97,0.3571428571,0.0490196078,0.4591836735,0.4766374635,-0.0906388297
8,Ecoli_13_8.sif,13,KM3,BESTFIT,100,5,7,91,4,67,0.6363636364,0.0945945946,0.5798816568,0.5262446657,0.1055659396
9,Ecoli_11_9.sif,12,KM3,BESTFIT,100,6,7,61,5,71,0.5833333333,0.0897435897,0.4722222222,0.506993007,0.0252136453
9,Ecoli_13_9.sif,13,KM3,BESTFIT,100,5,4,79,7,79,0.3636363636,0.0481927711,0.4911242604,0.4833987111,-0.0672876232
9,Ecoli_14_9.sif,14,KM3,BESTFIT,100,5,6,75,6,109,0.5,0.052173913,0.4132653061,0.4890499195,-0.0449820458
9,Ecoli_12_9.sif,12,KM3,BESTFIT,100,5,6,34,4,100,0.6,0.0566037736,0.2777777778,0.4756703078,-0.0843643454
9,Ecoli_10_9.sif,10,KM3,BESTFIT,100,4,7,27,0,66,1,0.095890411,0.34,0.5479452055,0.1668506864
,,,,,,,,,,,,,,,
,Mean_Nodes,11.9555555556,,,,,,,,,,,,,
,Mean_Runtime,4.8222222222,,,,,,,,,,,,,
,Mean_BACC,0.5015834858,,,,,,,,,,,,,
,Mean_MCC,0.0044028339,,,,,,,,,,,,,
,Mean_ACC,0.6216309595,,,,,,,,,,,,,
,Mean_Precision,0.3654203821,,,,,,,,,,,,,
,Mean_Recall,0.0769455603,,,,,,,,,,,,,
