,,,Slide ID,Cdc20,CycA,cdh1,E2F,CycE,Rb,p27,CycD,CycB,UbcH10
,,,Antibody Name,Cdc20,CycA,cdh1,E2F,CycE,Rb,p27,CycD,CycB,UbcH10
,,,HUGO ID,Cdc20,CycA,cdh1,E2F,CycE,Rb,p27,CycD,CycB,UbcH10
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9544882609143948,0.2639301903138993,0.5425013852776328,0.8949397096452204,0.9736498680624732,0.522360432903698,0.7768611960467677,0.02895655813551401,0.5201439567238944,0.059016774223068946
C1,no,Insulin,0.33557046979865773,0.6697858507648948,0.2047429556799802,0.6837754992115126,0.6626422285985466,0.701039346298173,0.5497597612952042,0.5876378024071266,0.09645252851209032,0.46234964164397485,0.06289491013315453
C1,no,Insulin,0.6711409395973155,0.4927042028483529,0.16240136384906145,0.7385062126606639,0.5184161269038683,0.5216595016236317,0.56272378830615,0.45275271449438437,0.15772914878889377,0.4398860271319898,0.06481763872392442
C1,no,Insulin,1.0067114093959733,0.38344152772274026,0.13257466199226145,0.7583330325838189,0.42886783477130497,0.40294294610919135,0.5707971832216718,0.35606492933672557,0.2040702024048228,0.4362046158880864,0.06560281354688345
C1,no,Insulin,1.342281879194631,0.31671114084072727,0.11170233288637756,0.76422524586132,0.3731586637306266,0.32401056143057866,0.5772688468665632,0.28615631001851083,0.23671411674240492,0.44111229223224646,0.06578115010217041
C1,no,Insulin,1.6778523489932886,0.27642453915671894,0.09716440570642011,0.7648575824981806,0.3383867776997342,0.27137243272274647,0.5830825924429736,0.2350740606533794,0.258917873437114,0.4488553341806959,0.06566167929184918
C1,no,Insulin,2.0134228187919465,0.2523996467035079,0.08708265207028272,0.763806578635018,0.3165871041584666,0.23621522875741366,0.5883558788543521,0.19730924293551172,0.27373111084010254,0.4565241787402792,0.06541239644000157
C1,no,Insulin,2.348993288590604,0.23825323626710895,0.08012029165403335,0.7624721483201694,0.30284303433187443,0.21272099993688706,0.5929931180144923,0.16904695244827558,0.28350209392442727,0.46291596944172536,0.06512017349557271
C1,no,Insulin,2.684563758389262,0.23003085876002016,0.07533014536956259,0.761325355257965,0.2941162052465954,0.19702044999363402,0.5969121781512526,0.14763678307159628,0.28990267865032765,0.46775470273292374,0.06482792290457254
C1,no,Insulin,3.0201342281879198,0.22531463557447473,0.07204473375199356,0.7604616670039532,0.2885257340848925,0.1865293885881609,0.6001027007571188,0.13122601959426386,0.2940774038556183,0.4711932060902044,0.06455559243572971
C1,no,Insulin,3.3557046979865772,0.22264620016860173,0.06979666804768958,0.7598452130890717,0.2849048449060933,0.17951899528423568,0.6026181644091941,0.11850844924339803,0.29679292287520326,0.4735284950449092,0.0643113880841301
C1,no,Insulin,3.691275167785235,0.2211579094292246,0.0682607800380603,0.7594102925113689,0.282527945694473,0.17483259613971222,0.6045496059863322,0.10855353665007877,0.2985562148326425,0.4750614035072548,0.06409758495711217
C1,no,Insulin,4.026845637583893,0.22034057142462693,0.06721219025335506,0.7590979797269478,0.2809424377630347,0.17169690791041606,0.6060011612888283,0.10069061221536761,0.2996999181265544,0.4760414477472828,0.06391349658230001
C1,no,Insulin,4.3624161073825505,0.2198994082583666,0.0664961756320571,0.7588651822325053,0.27986495881686935,0.16959553522200618,0.6070735063974974,0.09443030783422172,0.3004412119003757,0.47665531156883073,0.06375699831476782
C1,no,Insulin,4.697986577181208,0.21966605935454336,0.0660067330101487,0.7586835457788763,0.2791172535005094,0.16818400239317569,0.6078550328265676,0.08941103530432476,0.3009214619242022,0.47703386866845343,0.06362532757585664
C1,no,Insulin,5.033557046979866,0.21954570057884554,0.06567148349912028,0.758535600723305,0.27858655109733194,0.1672327419613585,0.6084186460084996,0.08536229956319519,0.30123250122780526,0.47726482843300494,0.06351551510417426
C1,no,Insulin,5.369127516778524,0.21948568838940402,0.06544113778791454,0.7584110535055157,0.27820099120971975,0.16658887342474657,0.6088219008310671,0.08207932830737691,0.3014339107257763,0.4774049888111763,0.06342462752139699
C1,no,Insulin,5.704697986577181,0.21945724251656118,0.06528219589705626,0.7583039718900547,0.27791437297672955,0.16615062789687682,0.6091088060628552,0.07940535010567881,0.30156431322249344,0.47749015201151523,0.06334990328294673
C1,no,Insulin,6.0402684563758395,0.2194448818723526,0.06517191676317563,0.7582109100052661,0.2776966510078751,0.16585025167592451,0.6093122119262497,0.07721907213322936,0.30164873678007215,0.4775423890692051,0.06328882616161637
C1,no,Insulin,6.375838926174497,0.2194404408475137,0.0650948749261557,0.7581297484891153,0.2775280229320104,0.16564262431644328,0.6094561942842703,0.07542574772218293,0.30170339029359894,0.4775750580036749,0.06323915821350153
C1,no,Insulin,6.7114093959731544,0.2194397043028821,0.0650406072588117,0.7580590371780661,0.277395214896509,0.1654976658273328,0.6095581453721048,0.0739507158922448,0.30173877027743107,0.47759611528929025,0.06319894725513768
C1,no,Insulin,7.046979865771813,0.21944055672713003,0.06500201293880253,0.7579976438246083,0.2772891559164524,0.1653952933105451,0.6096304896197224,0.07273468203994869,0.3017616718029358,0.4776102394102827,0.06316651716272619
C1,no,Insulin,7.38255033557047,0.2194419695910548,0.06497426271165252,0.7579445815259565,0.27720350385333414,0.16532205476428474,0.6096820292895798,0.07173021707716548,0.3017764980449445,0.47762016116330736,0.06314044795399816
C1,no,Insulin,7.718120805369128,0.21944347773829143,0.06495406962566165,0.7578989420066091,0.2771337277059517,0.16526892590604314,0.6097189584639011,0.07089915893418552,0.30178609524562894,0.477627460072469,0.06311955001013547
C1,no,Insulin,8.053691275167786,0.21944488438139884,0.06493918615793522,0.7578598683791611,0.2770765040629722,0.16522981551823845,0.6097456151271207,0.07021063090835514,0.30179230773875104,0.4776330551687209,0.06310283631711155
C1,no,Insulin,8.389261744966444,0.21944612268857625,0.06492806986149047,0.7578265585778052,0.2770293399180759,0.16520059227221667,0.6097650285689461,0.06963953634948568,0.3017963291555562,0.47763748688870983,0.06308949459302345
C1,no,Insulin,8.724832214765101,0.21944718346491848,0.0649196561076452,0.7577982683309233,0.276990324103726,0.16517843397165377,0.609779311267004,0.06916539456514392,0.3017989320794009,0.4776410810950047,0.06307886100176409
C1,no,Insulin,9.060402684563758,0.2194480799847372,0.06491320434010191,0.7577743181353975,0.27695796213200424,0.16516139415678552,0.6097899372740202,0.06877143098813941,0.30180061733500907,0.4776440417493267,0.06307039618905207
C1,no,Insulin,9.395973154362416,0.21944883423991612,0.06490819629921231,0.7577540988098583,0.27693106920908467,0.1651481204852651,0.6097979363362219,0.06844387001948897,0.301801707968101,0.47764650390925656,0.06306366407719231
C1,no,Insulin,9.731543624161075,0.21944946675029747,0.06490426451244231,0.757737066779556,0.276908690630797,0.16513765827840216,0.609804030154435,0.06817136826482215,0.30180241405157043,0.47764856214952334,0.06305831364999705
C1,no,Insulin,10.067114093959733,0.21944999729143497,0.06490114628795775,0.7577227468543177,0.27689005165327335,0.16512932733790825,0.6098087276047212,0.06794456630620281,0.3018028710371201,0.47765028705885354,0.06305406327710075
C1,no,Insulin,10.40268456375839,0.21945044209012074,0.06489865120331424,0.757710727775612,0.2768745178130395,0.16512263485863377,0.6098123894728775,0.06775572827993667,0.3018031667355843,0.4776517346405641,0.06305068768045158
C1,no,Insulin,10.738255033557047,0.21945081493467927,0.06489663906718879,0.7577006500877672,0.2768615658022309,0.16511721776730665,0.6098152742146667,0.06759844794328368,0.3018033583585593,0.4776529487522567,0.0630480070598222
C1,no,Insulin,11.073825503355705,0.2194511279323085,0.06489500601783488,0.7576922073924091,0.2768507639390306,0.16511280665005032,0.6098175682254371,0.0674674170417339,0.30180348232175147,0.47765396632592977,0.06304587820684235
C1,no,Insulin,11.409395973154362,0.21945139020219023,0.06489367352132025,0.7576851458315651,0.27684175392510013,0.1651091965191448,0.6098194076553041,0.06735823044146977,0.30180356248294077,0.47765481982894664,0.063044187187191
C1,no,Insulin,11.74496644295302,0.21945160993814777,0.06489258129744245,0.7576792410290769,0.27683423731237455,0.16510622960133853,0.6098208932294544,0.06726722912852955,0.30180361444987713,0.4776555343994994,0.0630428435545974
C1,no,Insulin,12.080536912751679,0.219451794462787,0.06489168274479841,0.7576742985618543,0.27682796640720014,0.16510378375117662,0.6098221004417337,0.06719137387438347,0.3018036480192322,0.4776561311865632,0.06304177557191
C1,no,Insulin,12.416107382550337,0.21945194870739035,0.06489094147915497,0.7576701749469694,0.27682273471335944,0.16510176197202608,0.6098230864692512,0.06712813440181761,0.30180366973886663,0.47765663133474096,0.06304092616976431
C1,no,Insulin,12.751677852348994,0.21945207787072687,0.0648903284418946,0.7576667297044279,0.27681836985530783,0.1651000873729728,0.609823895276824,0.06707540747704221,0.3018036837972568,0.47765704919203383,0.06304025027125006
C1,no,Insulin,13.087248322147651,0.2194521859441786,0.06488982053453028,0.7576638529893729,0.2768147283275881,0.16509869815247558,0.6098245609947002,0.0670314427536567,0.3018036928944248,0.477657398301697,0.06303971211026552
C1,no,Insulin,13.422818791946309,0.21945227633864378,0.06488939909324823,0.757661451227958,0.27681169026096814,0.16509754421828024,0.6098251104913411,0.06699478109412613,0.3018036987830549,0.4776576898406524,0.06303928330625609
C1,no,Insulin,13.758389261744966,0.2194523519070944,0.06488904899348504,0.7576594465639104,0.2768091556810233,0.16509658478598263,0.6098255650784894,0.06696420743214661,0.3018037025948177,0.4776579332760988,0.06303894137381433
C1,no,Insulin,14.093959731543626,0.2194524150646283,0.06488875787816106,0.7576577733633166,0.27680704110677734,0.16509578644035192,0.6098259418409732,0.06693870871335009,0.30180370506373283,0.4776581364831049,0.06303866847524668
C1,no,Insulin,14.429530201342283,0.21945246782787078,0.0648885156448266,0.7576563770975124,0.2768052770031919,0.16509512176579494,0.6098262545348011,0.0669174421349231,0.3018037066618863,0.47765830609628707,0.06303845049770519
C1,no,Insulin,14.76510067114094,0.21945251190413376,0.06488831393561494,0.7576552117803994,0.27680380507928254,0.16509456803701597,0.6098265143986408,0.06689970196492913,0.30180370770029435,0.4776584476592171,0.0630382761742827
C1,no,Insulin,15.100671140939598,0.21945254871416986,0.06488814590177538,0.757654239309536,0.2768025769752758,0.1650941065845638,0.6098267305416243,0.06688490326440465,0.3018037083751583,0.4776585658012165,0.06303813663914891
C1,no,Insulin,15.436241610738255,0.21945257944507715,0.06488800589905082,0.757653427934351,0.2768015524102385,0.16509372199006084,0.609826910399299,0.06687255924607852,0.30180370880644114,0.47765866439322374,0.06303802488379406
C1,no,Insulin,15.771812080536913,0.21945260508752884,0.0648878892691992,0.7576527512423443,0.27680069796088225,0.16509340151581606,0.6098270600728753,0.06686226624630986,0.3018037090744282,0.4776587466401811,0.06303793537223198
C1,no,Insulin,16.107382550335572,0.21945262649149558,0.06488779203385062,0.7576521866337412,0.27679998514330395,0.16509313428903222,0.6098271847754937,0.06685368030357702,0.30180370925205635,0.4776588152517352,0.06303786352185278
C1,no,Insulin,16.44295302013423,0.2194526443601641,0.06488771094734821,0.7576517154717763,0.27679939046543367,0.16509291141988816,0.6098272887174668,0.06684651799307939,0.30180370937423423,0.4776588724736873,0.06303780578266437
C1,no,Insulin,16.778523489932887,0.2194526592724358,0.06488764333020508,0.7576513223659007,0.2767988943557007,0.16509272555073956,0.609827375356183,0.06684054328598366,0.3018037094545783,0.4776589202108738,0.06303775934285226
C1,no,Insulin,17.114093959731544,0.21945267170758578,0.0648875869605747,0.7576509945841453,0.27679848053666534,0.16509257057303361,0.609827447553706,0.06683555992132369,0.3018037095003515,0.4776589600607098,0.06303772197450618
C1,no,Insulin,17.449664429530202,0.2194526820669339,0.06488753996948554,0.7576507215070821,0.2767981353913231,0.16509244135063708,0.6098275077284241,0.06683140368297937,0.3018037095248137,0.47765899335881074,0.06303769187581368
C1,no,Insulin,17.78523489932886,0.2194526906905019,0.06488750081042587,0.7576504942134729,0.2767978476757116,0.165092333640586,0.60982755787415,0.06682793905799896,0.3018037095393385,0.4776590211784481,0.06303766763633503
C1,no,Insulin,18.120805369127517,0.21945269788964392,0.06488746811242885,0.7576503046127001,0.27679760752934207,0.16509224370019904,0.609827599758588,0.06682504725457607,0.3018037095613221,0.47765904440802054,0.06303764800870483
C1,no,Insulin,18.456375838926174,0.21945270392157845,0.06488744078262239,0.7576501459044259,0.2767974069854093,0.16509216855193332,0.6098276347691285,0.06682263244302189,0.3018037095921167,0.4776590637298698,0.0630376320704116
C1,no,Insulin,18.79194630872483,0.2194527089993736,0.06488741796439466,0.7576500122688832,0.2767972396220614,0.16509210586796938,0.6098276639610806,0.06682061757364133,0.30180370961292624,0.4776590796518949,0.06303761916516953
C1,no,Insulin,19.12751677852349,0.2194527132798495,0.06488739893113438,0.7576498993760846,0.2767971000109204,0.16509205364789795,0.6098276882608369,0.06681893726949548,0.3018037096151229,0.4776590926995353,0.06303760873576804
C1,no,Insulin,19.46308724832215,0.21945271686091056,0.0648873830772829,0.7576498044530803,0.27679698360211213,0.16509201018364958,0.6098277084768775,0.06681753641874569,0.3018037095972732,0.47765910345662366,0.06303760031604581
C1,no,Insulin,19.798657718120808,0.219452719798487,0.06488736989221307,0.7576497264305464,0.2767968865874841,0.16509197397436098,0.6098277253176531,0.06681636864042285,0.30180370957397656,0.4776591126143646,0.06303759350417484
C1,no,Insulin,20.134228187919465,0.21945272211049113,0.06488735893074378,0.7576496657702035,0.27679680570027876,0.1650919436476451,0.6098277394347901,0.06681539383633868,0.3018037095771563,0.4776591209884698,0.06303758792602848
C1,no,Insulin,20.469798657718123,0.21945272387006326,0.06488734984500205,0.7576496207042166,0.27679673829263607,0.165091918224639,0.609827751258268,0.0668145801731656,0.3018037096034556,0.47765912890779305,0.06303758334213681
C1,no,Insulin,20.80536912751678,0.21945272525544116,0.06488734230093589,0.757649585999263,0.2767966821071825,0.16509189696251,0.6098277611213037,0.06681390140802437,0.30180370963677855,0.4776591360104286,0.06303757958906205
C1,no,Insulin,21.140939597315437,0.21945272663776916,0.06488733589981774,0.7576495502215017,0.2767966351152551,0.1650918792882939,0.6098277693445973,0.06681333536430112,0.3018037096572502,0.47765914077394395,0.0630375765589274
C1,no,Insulin,21.476510067114095,0.2194527280761383,0.06488733044166166,0.7576495115324402,0.27679659577488197,0.16509186467851272,0.6098277761608852,0.06681286364740209,0.3018037096520083,0.47765914325364806,0.06303757414068498
C1,no,Insulin,21.812080536912752,0.21945272929458742,0.0648873258916325,0.7576494784443174,0.2767965629594179,0.16509185253903028,0.6098277818227793,0.06681247034827038,0.3018037096370311,0.4776591451892859,0.06303757217893279
C1,no,Insulin,22.14765100671141,0.21945273033069088,0.06488732210194209,0.7576494499316624,0.2767965355962712,0.16509184247258044,0.6098277865163481,0.06681214259218303,0.30180370961166586,0.47765914665285614,0.06303757059371014
C1,no,Insulin,22.483221476510067,0.21945273103830917,0.0648873190132661,0.7576494308595774,0.27679651284740353,0.16509183402712316,0.6098277904388864,0.06681186896263648,0.3018037095961022,0.477659148676161,0.06303756927466142
C1,no,Insulin,22.818791946308725,0.2194527315275023,0.06488731648557398,0.7576494179695904,0.2767964939356753,0.1650918269581315,0.6098277937138075,0.06681164074671787,0.30180370958631103,0.47765915087334543,0.06303756818366377
C1,no,Insulin,23.154362416107382,0.21945273190901057,0.06488731437761647,0.7576494082726501,0.27679647815010466,0.1650918210097526,0.6098277964687636,0.06681145002528417,0.3018037095881245,0.47765915288419797,0.06303756727552129
C1,no,Insulin,23.48993288590604,0.2194527321960608,0.06488731262589183,0.7576494012958512,0.2767964649930716,0.1650918160102457,0.6098277987844072,0.0668112908018795,0.3018037095975844,0.47765915474577203,0.06303756651952278
C1,no,Insulin,23.8255033557047,0.21945273254850664,0.06488731110751224,0.7576493921288859,0.2767964539412511,0.16509181185869132,0.6098278007192666,0.06681115787381263,0.3018037096034475,0.47765915573170936,0.06303756591046955
C1,no,Insulin,24.161073825503358,0.21945273288510386,0.06488730981915003,0.7576493832259131,0.2767964446969036,0.16509180840225116,0.6098278023351771,0.06681104698963912,0.3018037096081036,0.4776591563404155,0.06303756541360009
C1,no,Insulin,24.496644295302016,0.21945273318602798,0.06488730874048723,0.7576493750261808,0.2767964369749259,0.16509180554680472,0.6098278036713004,0.06681095453139757,0.30180370960559455,0.4776591567215017,0.06303756501153543
